data.results.uri	data.results.label	data.results.type.uri	data.results.type.label
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-28	Identify, analyze, and use relevant situational information to make informed decisions and take appropriate actions.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1502	Establish and communicate performance expectations.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1410	Ensure incident objectives and leader’s intent (task, purpose, end state) are met.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-310	Supervise felling operations, including appropriate snag mitigation.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1415	Supervise water handling logistics and operations for crew (e.g., portable pumps, hoses, fold-a-tanks).	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-305	Prepare control lines for burnout operations.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1418	Supervise mop-up and suppression repair efforts on assigned portion of line.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1417	Coordinate and communicate issues with fireline supervisor and adjoining resources.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-304	Plan, direct, and supervise firing operations.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-307	Effectively lead crew operations.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1413	Determine appropriate fireline tactics, including indirect and direct attack strategies.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1414	Properly locate fireline and determine appropriate fireline construction methods necessary to stop fire spread. Ensure completion to acceptable standards.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-123	Ensure proper refurbishing and resupply of tools, vehicles, food, water, and supplies.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1416	Scout line in critical areas and patrol fireline for spot fires and slop overs.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-312	Verify driver/operator qualifications and ensure adherence to vehicle safety procedures when transporting personnel, fuel, and equipment.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-86	Through established chain of command, assist the responsible land management agency and/or assigned Resource Advisor (READ), with the protection of natural, cultural, and other resources. Communicate when such resources are discovered and document suppression impacts.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1421	Equip crew with appropriate short and long-term logistical needs for assignment and utilize correct procedures to obtain additional supplies.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-121	Develop and implement tactics based on incident objectives, fire behavior, risk assessment and leader's intent.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1423	Provide timely updates of accurate information and recommendations using the chain of command to assist with the planning process.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1419	Assess work area to meet assigned objectives.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-140	Report special occurrences (e.g., structure/improved property loss or damage, accidents, sickness) to supervisor.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-139	Assign personnel to collect, document, and report weather observations.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1422	Gather and/or disseminate information using maps, compass, Global Positioning System (GPS), and other tools and applications.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-105	Coordinate travel to and from fireline (e.g., travel routes, communication procedures, accountability). Ensure adherence to vehicle safety procedures. Identify ingress and egress routes. Consider bridge and road limits, equipment weight and length, and weather effects.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-95	Request, direct, and provide feedback to aerial resources through established chain of command.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-87	Provide status updates on conditions affecting operations, hazardous conditions, unresolved conflicts, air operations, etc., to supervisor.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1420	Organize and deploy crew based on current objectives and resource capabilities.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-120	Provide situation update and accomplishments to supervisor and/or relief forces at end of shift.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-72	Conduct WUI operations according to guidelines stated in IRPG, incident-specific objectives and guidelines, and agency-specific guidance.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-4	Establish communications and exchange necessary briefings/information.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-20	Conduct and/or participate in After Action Reviews (AAR).	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1424	Use plain language and ICS terminology.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-24	Follow established processes and chain of command for collecting, producing, and distributing information.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-30	Ensure clear understanding of expectations and timely communication within and across Incident Command System (ICS) functional areas and chain of command.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-65	Prepare and program radios for assignment.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-45	Communicate effectively using multichannel radios.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-5	Plan for medical emergencies. Ensure that assigned resources are prepared to execute the Medical Plan (ICS 206 WF). Ensure familiarity with medical responders, communication procedures, and transportation plan.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-58	Submit accident/incident reports with pertinent forms (SAFECOM, SAFENET, agency-specific forms) through established chain of command.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-112	Develop and communicate contingency plans and trigger points.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1426	Use Look Up, Down and Around in IRPG to help maintain situational awareness. Adjust actions accordingly.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1427	Provide input into the risk management process to ensure safety of operations.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1429	Manage a medical emergency based on procedures stated in the IAP, the IRPG, Medical Incident Report, or other relevant guidelines.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-85	"Apply the Risk Management Process as stated in the IRPG:
Identify Hazards.
Assess Hazards.
Develop Controls and Make Risk Decisions.
Implement Controls.
Supervise and Evaluate."	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1428	Ensure Lookouts, Communications, Escape Routes, and Safety Zones (LCES) is in place.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-35	Monitor for signs and symptoms of fatigue, illness, or injury. Mitigate appropriately.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-27	Account for location, health, safety, and welfare of assigned personnel.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1430	Complete all administrative tasks and documentation in an accurate and timely manner.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1432	Depart from incident.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1431	Prepare for and Implement Demobilization.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-656	Apply principles of Operational Risk Management.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1314	Acquire, analyze, and use relevant situational information to make more informed decisions and take appropriate actions.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-84	Ensure Lookouts, Communications, Escape Routes, and Safety Zones (LCES) are established and known to all firefighters before they are needed. Refer to guidelines stated in IRPG.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-6	Use Look Up, Down and Around in IRPG to help maintain situational awareness. Adjust actions accordingly. Develop and communicate contingency plans and trigger points.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-7	Plan for medical emergencies. Ensure that assigned resources are prepared to execute the Medical Plan (ICS 206 WF). Ensure familiarity with medical responders, communication procedures, and transportation plan. Manage the medical emergency based on procedures stated in the IAP, the IRPG Medical Incident Report, or other relevant guidelines. 	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-8	Complete, authorize, ensure timeliness of, and route as required. Common Administrative Forms:  Incident Personnel Performance Rating (ICS 225 WF). General Message (ICS 213). Activity Log (ICS 214). Agency-specific forms.  Position Specific: Crew Time Report (CTR), SF-261 (Watch: How to correctly fill out a CTR) OWCP Forms: CA1, CA2, CA16 	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-9	Develop and communicate contingency plans and trigger points.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-889	According to agency policy and type of crew, perform the duties and responsibilities of CRWB as needed.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-632	Communicate and coordinate Aircrew and Base Personnel needs.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-173	Communicate changing conditions to supervisor.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-645	Collect and record accurate daily flight and cost data, landing fees, and retardant use. Submit required forms to the appropriate personnel by close of business (COB) daily. Maintain all use records per agency guidelines.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-98	Plan for medical emergencies. Ensure that assigned resources are prepared to execute the Medical Plan (ICS 206 WF). Ensure familiarity with medical responders, communication procedures, and transportation plan. Manage the medical emergency based on procedures stated in the IAP, the IRPG Medical Incident Report, or other relevant guidelines.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-186	Coordinate with other sections during demobilization to ensure the return of accountable property to the appropriate owner, e.g., incident agency, or local, geographic, or national cache.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-480	Update supervisor on current accomplishments and/or concerns.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1290	Recon the ignition unit or assigned area.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-658	Apply Aviation Safety & Risk Management Systems to include Policy, Risk Management, Assurance, and Promotion.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-952	Demonstrate ability to successfully use communication equipment.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-405	Determine appropriate aircraft for mission based on flight request information, mission requirement, locations, special circumstances, availability, and cost effectiveness.  Complete a cost comparison if necessary.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1215	Establish positive communication with swampers, crew, and supervisor.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-199	Provide estimated costs to date and anticipated total costs.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-493	Maintain a log of strategic decisions and significant events for inclusion in the Area Command final documentation package.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-240	Demonstrate knowledge of expanded dispatch positions and structure.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-965	Identify resources available for reassignment.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-418	Assist supervisor in preparing operational briefing materials.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-712	Ensures all airtanker base personnel are trained in identifying properly secured GSE.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-253	Operate within current certification and qualification level, except during formal evaluation proceedings or under the immediate supervision of a higher qualified sawyer.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1063	Ensure that Finance/Administration section has necessary inspection documentation for assigned resources.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-978	Review the status of all orders in the assigned functional area.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-725	Designate safe zones for Ground Support Equipment (GSE).	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-266	Operate within your skill level and turn down any saw operation you feel is unsafe or when the complexity is higher than your certification or ability.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1076	Distribute contract documents according to established guidelines.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-560	Conduct an aerial survey of incident operations airspace.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1370	Complete test fire according to plan.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-738	Serve as the primary logistics representative when working at a remote spike camp.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-279	Receive and follow demobilization instructions from supervisor.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1089	Adjust actions based on changing information and evolving situation awareness. Communicate changing conditions to your incident supervisor.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-573	Coordinate with Resource Advisor (READ) regarding potential helispots, helibases, mobile retardant base, helicopter dip sites, and fixed-wing aircraft scooping locations.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1383	Coordinate travel (e.g., travel routes, communication procedures, and accountability). Ensure adherence to vehicle safety procedures. Identify ingress and egress routes.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1130	Document all complaints and suspicious occurrences.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1308	Adhere to the chain of command as it applies to crew configuration.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-586	Communicate and coordinate with the Communications Unit Leader (COML) concerning frequency needs and assignments.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1396	Perform all functions of various Finance Unit Leaders that are not activated.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-333	Maintain a supply of water and chemical agent for the fire, particularly on critical areas of the fireline.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-880	In absence of IARR, contact home agency within 12 hours after arriving at incident and inform of situation, status, and location.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1143	Monitor restrictions/work requirements for each resource to maximize safe and efficient assignments and demobilization.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-80	Identify ingress and egress routes.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-805	Ensure thorough investigation and documentation of actual and potential claims for and against the government are in place to maintain cost management measures.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-599	Coordinate with Federal Aviation Agency (FAA).	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-346	Distribute information (flight/load limits, etc.) to base personnel.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-893	Verify that hand crew leadership [Crew Boss (CRWB), Firefighter Type 1 (FFT1)] meet English language/crew language comprehension requirement.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1156	Adhere to safety procedures for foot travel and transporting saw, fuel, personnel, and equipment.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-640	Collect and record accurate daily flight and cost data, landing fees, and retardant use.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-93	Plan for medical emergencies. Ensure that assigned resources are prepared to execute the Medical Plan (ICS 206 WF). Ensure familiarity with medical responders, communication procedures, and transportation plan. Manage the medical emergency based on procedures stated in the IAP, the Medical Incident Report, or other relevant guidelines.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-818	"Ensure effective exchange of information between agency management and expanded dispatch organization.
Expectations of management.
Delegated authorities.
Advise management, identify alternatives, and make recommendations.
Implement management direction."	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-181	Facilitate initial and continued contact with the incident Agency Administrator regarding agency requirements and expectations, Incident Finance Package, and closeout requirements.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1169	Ensure hazard trees are identified, communicated, and avoided until they are mitigated.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-106	Develop and implement contingency plans. Communicate changing conditions to assigned resources and supervisor.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-653	Ensure that the SABO, NWCG Standards for Single Engine Airtanker Operations, PMS 506, OSHA, Environmental Protection Agency (EPA) Reports, and/or agency forms and reports are completed as required.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-400	Monitor prioritize, and coordinate radio traffice involving multiple frequencies.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1210	Conduct warning shout (Falling!) before a backcut is started, and again as a tree begins to commit to the lay.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-194	Follow established procedures for financial coordination with the jurisdictional agency and for the maintenance of finance, property procurement, personnel records, and forms.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-119	Establish accurate logistical needs for assigned resources using established ordering procedures.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-666	Provide on the spot correction of safety concerns and issues.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-413	Support aviation flight operations:	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1223	"Apply the Risk Management Process as stated in the Incident Response Pocket Guide (IRPG), PMS 461:
Identify Hazards
Assess Hazards
Develop Controls and Make Risk Decisions
Implement Controls"	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-679	Request and post updated aerial hazard and temporary flight restriction (TFR) maps from area forest, district, unit, or land managers.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-426	Develop and/or implement local Airtanker Base Operations Plan (ABOP) providing for and enforcing accountability, safety, and security measures for personnel and resources.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-973	Utilize reference guides to validate resource capabilities, limitation, or regulations governing use.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1236	Follow safe working conditions and guidelines provided by your supervisor.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-720	Obtain the Modular Airborne Firefighting System (MAFFS) Operating Plan if the base is MAFFS approved.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-261	Cut material to a size that is moveable by hand.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1071	Coordinate an efficient transfer of your position duties when demobilizing.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-439	Coordinate a consistent communication strategy among the IMTs based on AA direction.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-986	Utilize established methods and ordering channels.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1249	Assess experience level of assigned personnel prior to fireline assignment.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-274	Fully functional and maintained chainsaw	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1084	Complete the Emergency Equipment Use Envelope, OF 305.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-999	Recognize incident and resource allocation priorities and direct the processing of resource orders appropriately.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
http://nwcg.gov/data/positionDescription/RESPONSIBILITY-1009	Be prepared to work a functional area desk if there are position shortages.	http://nwcg.gov/model/incidentPosition#Responsibility	Responsibility
